Date,Time,Radians,Image quality,Year,Species
30-Mar-16,21:15:00,5.560417,Ok,2016,Panthera onca
12-Apr-16,17:28:00,4.570444,Ok,2016,Panthera onca
16-Apr-16,05:01:00,1.312694,Ok,2016,Panthera onca
07-May-16,06:49:00,1.783694,Ok,2016,Panthera onca
22-May-16,05:53:00,1.539472,Ok,2016,Panthera onca
31-May-16,20:56:00,5.477556,Ok,2016,Panthera onca
15-Jun-16,06:40:00,1.744444,Ok,2016,Panthera onca
17-Jun-16,08:05:00,2.115139,Ok,2016,Panthera onca
18-Jun-16,06:43:00,1.757528,Ok,2016,Panthera onca
08-Jul-16,06:32:00,1.709556,Dark,2016,Panthera onca
10-Jul-16,17:29:00,4.574806,Ok,2016,Panthera onca
27-Jul-16,16:20:00,4.273889,Ok,2016,Panthera onca
11-Aug-16,09:30:00,2.485833,Ok,2016,Panthera onca
04-Sep-16,04:25:00,1.155694,Ok,2016,Panthera onca
16-Sep-16,08:48:00,2.302667,Ok,2016,Panthera onca
27-Sep-16,10:54:00,2.852167,Ok,2016,Panthera onca
02-Apr-17,09:17:00,2.429139,Ok,2017,Panthera onca
03-Apr-17,21:47:00,5.699972,Ok,2017,Panthera onca
04-Apr-17,04:22:00,1.142611,Ok,2017,Panthera onca
17-Apr-17,18:25:00,4.819028,Ok,2017,Panthera onca
19-Apr-17,18:02:00,4.718722,Ok,2017,Panthera onca
19-Apr-17,19:04:00,4.989111,Ok,2017,Panthera onca
20-Apr-17,21:22:00,5.590944,Ok,2017,Panthera onca
22-Apr-17,03:12:00,0.837333,Ok,2017,Panthera onca
03-May-17,22:36:00,5.913667,Ok,2017,Panthera onca
04-May-17,11:59:00,3.135639,Ok,2017,Panthera onca
04-May-17,23:59:00,6.275639,Ok,2017,Panthera onca
05-May-17,01:00:00,0.261667,Ok,2017,Panthera onca
07-May-17,19:59:00,5.228972,Ok,2017,Panthera onca
07-May-17,21:00:00,5.495000,Ok,2017,Panthera onca
17-May-17,18:37:00,4.871361,Ok,2017,Panthera onca
19-May-17,03:25:00,0.894028,Ok,2017,Panthera onca
26-May-17,00:09:00,0.039250,Ok,2017,Panthera onca
26-May-17,19:40:00,5.146111,Ok,2017,Panthera onca
01-Jun-17,21:45:00,5.691250,Ok,2017,Panthera onca
02-Jun-17,12:04:00,3.157444,Ok,2017,Panthera onca
03-Jun-17,16:25:00,4.295694,Ok,2017,Panthera onca
05-Jun-17,11:01:00,2.882694,Ok,2017,Panthera onca
09-Jun-17,17:07:00,4.478861,Ok,2017,Panthera onca
10-Jun-17,03:33:00,0.928917,Dark,2017,Panthera onca
10-Jun-17,05:25:00,1.417361,Ok,2017,Panthera onca
12-Jun-17,21:02:00,5.503722,Ok,2017,Panthera onca
13-Jun-17,01:10:00,0.305278,Ok,2017,Panthera onca
14-Jun-17,02:42:00,0.706500,Ok,2017,Panthera onca
15-Jun-17,08:36:00,2.250333,Ok,2017,Panthera onca
16-Jun-17,09:50:00,2.573056,Ok,2017,Panthera onca
21-Jun-17,12:39:00,3.310083,Ok,2017,Panthera onca
21-Jun-17,13:56:00,3.645889,Ok,2017,Panthera onca
22-Jun-17,06:03:00,1.583083,Ok,2017,Panthera onca
25-Jun-17,02:14:00,0.584389,Ok,2017,Panthera onca
26-Jun-17,19:44:00,5.163556,Ok,2017,Panthera onca
26-Jun-17,23:32:00,6.157889,Ok,2017,Panthera onca
28-Jun-17,06:19:00,1.652861,Ok,2017,Panthera onca
29-Jun-17,07:22:00,1.927611,Ok,2017,Panthera onca
01-Jul-17,04:05:00,1.068472,Ok,2017,Panthera onca
01-Jul-17,05:12:00,1.360667,Ok,2017,Panthera onca
04-Jul-17,07:59:00,2.088972,Ok,2017,Panthera onca
